0.318	0.145	0.08835	NAN	-0.01281075	NAN	NAN	
0.32	0.145	0.0924	NAN	-0.013398	NAN	NAN	
0.322	0.145	0.08505	NAN	-0.01233225	NAN	NAN	
0.324	0.145	0.07755	0.08472	-0.01124475	-0.0122844	NAN	
0.326	0.145	0.0798	NAN	-0.011571	NAN	NAN	
0.328	0.145	0.0888	NAN	-0.012876	NAN	NAN	
0.33	0.15	0.0927	NAN	-0.013905	NAN	NAN	
0.332	0.15	0.08505	NAN	-0.0127575	NAN	NAN	
0.334	0.15	0.07725	0.08454	-0.0115875	-0.012681	NAN	
0.336	0.15	0.07905	NAN	-0.0118575	NAN	NAN	
0.338	0.15	0.08865	NAN	-0.0132975	NAN	NAN	
0.34	0.155	0.09285	NAN	-0.01439175	NAN	NAN	
0.342	0.155	0.0855	NAN	-0.0132525	NAN	NAN	
0.344	0.155	0.0777	0.08472	-0.0120435	-0.0131316	NAN	
0.346	0.155	0.0789	NAN	-0.0122295	NAN	NAN	
0.348	0.155	0.08865	NAN	-0.01374075	NAN	NAN	
0.35	0.155	0.0927	NAN	-0.0143685	NAN	NAN	
0.352	0.16	0.0855	NAN	-0.01368	NAN	NAN	
0.354	0.16	0.07755	0.08469	-0.012408	-0.0135504	NAN	
0.356	0.16	0.07905	NAN	-0.012648	NAN	NAN	
0.358	0.16	0.08865	NAN	-0.014184	NAN	NAN	
0.36	0.16	0.09255	NAN	-0.014808	NAN	NAN	
0.362	0.165	0.08505	NAN	-0.01403325	NAN	NAN	
0.364	0.165	0.0774	0.08475	-0.012771	-0.01398375	NAN	
0.366	0.165	0.0795	NAN	-0.0131175	NAN	NAN	
0.368	0.165	0.08925	NAN	-0.01472625	NAN	NAN	
0.37	0.165	0.0927	NAN	-0.0152955	NAN	NAN	
0.372	0.165	0.08535	NAN	-0.01408275	NAN	NAN	
0.374	0.17	0.07725	0.08451	-0.0131325	-0.0143667	NAN	
0.376	0.17	0.0789	NAN	-0.013413	NAN	NAN	
0.378	0.17	0.08835	NAN	-0.0150195	NAN	NAN	
0.38	0.17	0.09285	NAN	-0.0157845	NAN	NAN	
0.382	0.17	0.0858	NAN	-0.014586	NAN	NAN	
0.384	0.175	0.07755	0.08478	-0.01357125	-0.0148365	NAN	
0.386	0.175	0.07935	NAN	-0.01388625	NAN	NAN	
0.388	0.175	0.08835	NAN	-0.01546125	NAN	NAN	
0.39	0.175	0.09255	NAN	-0.01619625	NAN	NAN	
0.392	0.175	0.0855	NAN	-0.0149625	NAN	NAN	
0.394	0.175	0.07785	0.08484	-0.01362375	-0.014847	NAN	
0.396	0.18	0.07935	NAN	-0.014283	NAN	NAN	
0.398	0.18	0.08895	NAN	-0.016011	NAN	NAN	
0.4	0.18	0.09285	NAN	-0.016713	NAN	NAN	
0.402	0.18	0.0855	NAN	-0.01539	NAN	NAN	
0.404	0.18	0.07755	0.08472	-0.013959	-0.0152496	NAN	
0.406	0.185	0.0792	NAN	-0.014652	NAN	NAN	
0.408	0.185	0.0885	NAN	-0.0163725	NAN	NAN	
0.41	0.185	0.09315	NAN	-0.01723275	NAN	NAN	
0.412	0.185	0.0858	NAN	-0.015873	NAN	NAN	
0.414	0.185	0.07755	0.08478	-0.01434675	-0.0156843	NAN	
0.416	0.185	0.0792	NAN	-0.014652	NAN	NAN	
0.418	0.19	0.0882	NAN	-0.016758	NAN	NAN	
0.42	0.19	0.093	NAN	-0.01767	NAN	NAN	
0.422	0.19	0.08565	NAN	-0.0162735	NAN	NAN	
0.424	0.19	0.07785	0.08502	-0.0147915	-0.0161538	NAN	
0.426	0.19	0.07965	NAN	-0.0151335	NAN	NAN	
0.428	0.195	0.08895	NAN	-0.01734525	NAN	NAN	
0.43	0.195	0.093	NAN	-0.018135	NAN	NAN	
0.432	0.195	0.0858	NAN	-0.016731	NAN	NAN	
0.434	0.195	0.078	0.08508	-0.01521	-0.0165906	NAN	
0.436	0.195	0.0795	NAN	-0.0155025	NAN	NAN	
0.438	0.195	0.0891	NAN	-0.0173745	NAN	NAN	
0.44	0.2	0.0933	NAN	-0.01866	NAN	NAN	
0.442	0.2	0.08595	NAN	-0.01719	NAN	NAN	
0.444	0.2	0.07785	0.08505	-0.01557	-0.01701	NAN	
0.446	0.2	0.07935	NAN	-0.01587	NAN	NAN	
0.448	0.2	0.0888	NAN	-0.01776	NAN	NAN	
0.45	0.205	0.09345	NAN	-0.01915725	NAN	NAN	
0.452	0.205	0.0861	NAN	-0.0176505	NAN	NAN	
0.454	0.205	0.07815	0.0852	-0.01602075	-0.017466	NAN	
0.456	0.205	0.0795	NAN	-0.0162975	NAN	NAN	
0.458	0.205	0.0888	NAN	-0.018204	NAN	NAN	
0.46	0.205	0.0936	NAN	-0.019188	NAN	NAN	
0.462	0.21	0.0864	NAN	-0.018144	NAN	NAN	
0.464	0.21	0.07845	0.08541	-0.0164745	-0.0179361	NAN	
0.466	0.21	0.07965	NAN	-0.0167265	NAN	NAN	
0.468	0.21	0.08895	NAN	-0.0186795	NAN	NAN	
0.47	0.21	0.0933	NAN	-0.019593	NAN	NAN	
0.472	0.215	0.0861	NAN	-0.0185115	NAN	NAN	
0.474	0.215	0.07815	0.08529	-0.01680225	-0.01833735	NAN	
0.476	0.215	0.0798	NAN	-0.017157	NAN	NAN	
0.478	0.215	0.0891	NAN	-0.0191565	NAN	NAN	
0.48	0.215	0.09375	NAN	-0.02015625	NAN	NAN	
0.482	0.215	0.08625	NAN	-0.01854375	NAN	NAN	
0.484	0.22	0.07815	0.08535	-0.017193	-0.018777	NAN	
0.486	0.22	0.07935	NAN	-0.017457	NAN	NAN	
0.488	0.22	0.08925	NAN	-0.019635	NAN	NAN	
0.49	0.22	0.0936	NAN	-0.020592	NAN	NAN	
0.492	0.22	0.08655	NAN	-0.019041	NAN	NAN	
0.494	0.225	0.0783	0.08538	-0.0176175	-0.0192105	NAN	
0.496	0.225	0.0798	NAN	-0.017955	NAN	NAN	
0.498	0.225	0.08865	NAN	-0.01994625	NAN	NAN	
0.5	0.225	0.09375	NAN	-0.02109375	NAN	NAN	
0.502	0.225	0.08685	NAN	-0.01954125	NAN	NAN	
0.504	0.225	0.0783	0.08559	-0.0176175	-0.01925775	NAN	
0.506	0.23	0.07995	NAN	-0.0183885	NAN	NAN	
0.508	0.23	0.0891	NAN	-0.020493	NAN	NAN	
0.51	0.23	0.09345	NAN	-0.0214935	NAN	NAN	
0.512	0.23	0.0867	NAN	-0.019941	NAN	NAN	
0.514	0.23	0.0783	0.08556	-0.018009	-0.0196788	NAN	
0.516	0.235	0.07995	NAN	-0.01878825	NAN	NAN	
0.518	0.235	0.0894	NAN	-0.021009	NAN	NAN	
0.52	0.235	0.0939	NAN	-0.0220665	NAN	NAN	
0.522	0.235	0.08685	NAN	-0.02040975	NAN	NAN	
0.524	0.235	0.0783	0.08547	-0.0184005	-0.02008545	NAN	
0.526	0.235	0.0795	NAN	-0.0186825	NAN	NAN	
0.528	0.24	0.0888	NAN	-0.021312	NAN	NAN	
0.53	0.24	0.09405	NAN	-0.022572	NAN	NAN	
0.532	0.24	0.08685	NAN	-0.020844	NAN	NAN	
0.534	0.24	0.0786	0.08559	-0.018864	-0.0205416	NAN	
0.536	0.24	0.0795	NAN	-0.01908	NAN	NAN	
0.538	0.245	0.08895	NAN	-0.02179275	NAN	NAN	
0.54	0.245	0.09405	NAN	-0.02304225	NAN	NAN	
0.542	0.245	0.0867	NAN	-0.0212415	NAN	NAN	
0.544	0.245	0.0789	0.08568	-0.0193305	-0.0209916	NAN	
0.546	0.245	0.0798	NAN	-0.019551	NAN	NAN	
0.548	0.245	0.08895	NAN	-0.02179275	NAN	NAN	
0.55	0.25	0.0936	NAN	-0.0234	NAN	NAN	
0.552	0.25	0.0867	NAN	-0.021675	NAN	NAN	
0.554	0.25	0.0783	0.08559	-0.019575	-0.0213975	NAN	
0.556	0.25	0.07995	NAN	-0.0199875	NAN	NAN	
0.558	0.25	0.0894	NAN	-0.02235	NAN	NAN	
0.56	0.255	0.0942	NAN	-0.024021	NAN	NAN	
0.562	0.255	0.08685	NAN	-0.02214675	NAN	NAN	
0.564	0.255	0.07815	0.08547	-0.01992825	-0.02179485	NAN	
0.566	0.255	0.07935	NAN	-0.02023425	NAN	NAN	
0.568	0.255	0.0888	NAN	-0.022644	NAN	NAN	
0.57	0.255	0.0942	NAN	-0.024021	NAN	NAN	
0.572	0.26	0.08685	NAN	-0.022581	NAN	NAN	
0.574	0.26	0.07875	0.08553	-0.020475	-0.0222378	NAN	
0.576	0.26	0.0792	NAN	-0.020592	NAN	NAN	
0.578	0.26	0.08865	NAN	-0.023049	NAN	NAN	
0.58	0.26	0.09375	NAN	-0.024375	NAN	NAN	
0.582	0.265	0.0867	NAN	-0.0229755	NAN	NAN	
0.584	0.265	0.0786	0.08553	-0.020829	-0.02266545	NAN	
0.586	0.265	0.0798	NAN	-0.021147	NAN	NAN	
0.588	0.265	0.0888	NAN	-0.023532	NAN	NAN	
0.59	0.265	0.09375	NAN	-0.02484375	NAN	NAN	
0.592	0.265	0.08655	NAN	-0.02293575	NAN	NAN	
0.594	0.27	0.07845	0.08541	-0.0211815	-0.0230607	NAN	
0.596	0.27	0.07935	NAN	-0.0214245	NAN	NAN	
0.598	0.27	0.08895	NAN	-0.0240165	NAN	NAN	
0.6	0.27	0.09405	NAN	-0.0253935	NAN	NAN	
0.602	0.27	0.08685	NAN	-0.0234495	NAN	NAN	
0.604	0.275	0.07815	0.08541	-0.02149125	-0.02348775	NAN	
0.606	0.275	0.07935	NAN	-0.02182125	NAN	NAN	
0.608	0.275	0.08865	NAN	-0.02437875	NAN	NAN	
0.61	0.275	0.0942	NAN	-0.025905	NAN	NAN	
0.612	0.275	0.08745	NAN	-0.02404875	NAN	NAN	
0.614	0.275	0.07875	0.08559	-0.02165625	-0.02353725	NAN	
0.616	0.28	0.07935	NAN	-0.022218	NAN	NAN	
0.618	0.28	0.0882	NAN	-0.024696	NAN	NAN	
0.62	0.28	0.09375	NAN	-0.02625	NAN	NAN	
0.622	0.28	0.087	NAN	-0.02436	NAN	NAN	
0.624	0.28	0.07905	0.08562	-0.022134	-0.0239736	NAN	
0.626	0.285	0.0795	NAN	-0.0226575	NAN	NAN	
0.628	0.285	0.0888	NAN	-0.025308	NAN	NAN	
0.63	0.285	0.09375	NAN	-0.02671875	NAN	NAN	
0.632	0.285	0.087	NAN	-0.024795	NAN	NAN	
0.634	0.285	0.07875	0.08553	-0.02244375	-0.02437605	NAN	
0.636	0.29	0.0795	NAN	-0.023055	NAN	NAN	
0.638	0.29	0.08865	NAN	-0.0257085	NAN	NAN	
0.64	0.29	0.0942	NAN	-0.027318	NAN	NAN	
0.642	0.29	0.087	NAN	-0.02523	NAN	NAN	
0.644	0.29	0.07845	0.08541	-0.0227505	-0.0247689	NAN	
0.646	0.29	0.0789	NAN	-0.022881	NAN	NAN	
0.648	0.295	0.0885	NAN	-0.0261075	NAN	NAN	
0.65	0.295	0.09375	NAN	-0.02765625	NAN	NAN	
0.652	0.295	0.08715	NAN	-0.02570925	NAN	NAN	
0.654	0.295	0.0786	0.08538	-0.023187	-0.0251871	NAN	
0.656	0.295	0.07935	NAN	-0.02340825	NAN	NAN	
0.658	0.3	0.08805	NAN	-0.026415	NAN	NAN	
0.66	0.3	0.09345	NAN	-0.028035	NAN	NAN	
0.662	0.3	0.087	NAN	-0.0261	NAN	NAN	
0.664	0.3	0.07905	0.0855	-0.023715	-0.02565	NAN	
0.666	0.3	0.0795	NAN	-0.02385	NAN	NAN	
0.668	0.3	0.0885	NAN	-0.02655	NAN	NAN	
0.67	0.305	0.0939	NAN	-0.0286395	NAN	NAN	
