0.702	0.32	0.0612	NAN	-0.019584	NAN	NAN	
0.704	0.32	0.0582	0.06396	-0.018624	-0.0204672	NAN	
0.706	0.32	0.0627	NAN	-0.020064	NAN	NAN	
0.708	0.32	0.0696	NAN	-0.022272	NAN	NAN	
0.71	0.32	0.06795	NAN	-0.021744	NAN	NAN	
0.712	0.32	0.0609	NAN	-0.019488	NAN	NAN	
0.714	0.325	0.0579	0.06378	-0.0188175	-0.0207285	NAN	
0.716	0.325	0.0627	NAN	-0.0203775	NAN	NAN	
0.718	0.325	0.06945	NAN	-0.02257125	NAN	NAN	
0.72	0.325	0.06795	NAN	-0.02208375	NAN	NAN	
0.722	0.325	0.0609	NAN	-0.0197925	NAN	NAN	
0.724	0.33	0.05805	0.06384	-0.0191565	-0.0210672	NAN	
0.726	0.33	0.0627	NAN	-0.020691	NAN	NAN	
0.728	0.33	0.0696	NAN	-0.022968	NAN	NAN	
0.73	0.33	0.0681	NAN	-0.022473	NAN	NAN	
0.732	0.33	0.06075	NAN	-0.0200475	NAN	NAN	
0.734	0.33	0.0579	0.06369	-0.019107	-0.0210177	NAN	
0.736	0.335	0.06255	NAN	-0.02095425	NAN	NAN	
0.738	0.335	0.06915	NAN	-0.02316525	NAN	NAN	
0.74	0.335	0.06795	NAN	-0.02276325	NAN	NAN	
0.742	0.335	0.0606	NAN	-0.020301	NAN	NAN	
0.744	0.335	0.05775	0.06363	-0.01934625	-0.02131605	NAN	
0.746	0.34	0.06255	NAN	-0.021267	NAN	NAN	
0.748	0.34	0.0693	NAN	-0.023562	NAN	NAN	
0.75	0.34	0.06825	NAN	-0.023205	NAN	NAN	
0.752	0.34	0.06075	NAN	-0.020655	NAN	NAN	
0.754	0.34	0.0579	0.06372	-0.019686	-0.0216648	NAN	
0.756	0.34	0.0624	NAN	-0.021216	NAN	NAN	
0.758	0.345	0.0693	NAN	-0.0239085	NAN	NAN	
0.76	0.345	0.06795	NAN	-0.02344275	NAN	NAN	
