MIN=0	0	0	0	0	
MAX=5000	1	1	310	0.1	
SCALE=1000	0.5	0.5	100	0.05	
DEC=0	3	3	0	4	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Temperatur" T / K	"Frequency" f / Hz	
980	0.189	0.074	84.15	NAN	
985	0.189	0.0825	84.15	NAN	
990	0.1895	0.084	83.65	NAN	
995	0.19	0.082	83.15	NAN	
1000	0.19	0.077	83.15	NAN	
1005	0.1895	0.0715	83.65	NAN	
1010	0.19	0.0715	83.15	NAN	
1015.007	0.1905	0.074	82.65	NAN	
NAN	NAN	NAN	NAN	NAN	
0	0.1905	0.072	82.65	NAN	
5	0.191	0.0715	82.15	NAN	
10	0.191	0.07	82.15	NAN	
15	0.1905	0.0725	82.65	NAN	
20	0.1905	0.071	82.65	NAN	
25	0.1905	0.0745	82.65	NAN	
30	0.1905	0.0825	82.65	NAN	
35	0.19	0.083	83.15	NAN	
40	0.19	0.082	83.15	NAN	
45	0.1895	0.083	83.65	NAN	
50	0.19	0.076	83.15	NAN	
55	0.1895	0.08	83.65	NAN	
60	0.1885	0.0705	84.65	NAN	
65	0.189	0.082	84.15	NAN	
70	0.1875	0.0765	85.65	NAN	
75	0.189	0.0725	84.15	NAN	
80	0.1885	0.074	84.65	NAN	
85	0.188	0.074	85.15	NAN	
90	0.188	0.073	85.15	NAN	
95	0.186	0.0835	87.15	NAN	
100	0.1845	0.083	88.65	NAN	
105	0.184	0.083	89.15	NAN	
110	0.1845	0.084	88.65	NAN	
115	0.184	0.0835	89.15	NAN	
120	0.183	0.0805	90.15	NAN	
125	0.1835	0.081	89.65	NAN	
130.004	0.1825	0.083	90.65	NAN	
135	0.1815	0.082	91.65	NAN	
140	0.1805	0.082	92.65	NAN	
145	0.18	0.0815	93.15	NAN	
150	0.18	0.083	93.15	NAN	
155	0.18	0.0825	93.15	NAN	
160	0.1795	0.085	93.65	NAN	
165	0.179	0.088	94.15	NAN	
170	0.178	0.093	95.15	NAN	
175	0.177	0.1	96.15	NAN	
180	0.177	0.1105	96.15	NAN	
185	0.177	0.1185	96.15	NAN	
190	0.1755	0.128	97.65	NAN	
195	0.1745	0.146	98.65	NAN	
200	0.1735	0.1545	99.65	NAN	
205	0.1735	0.156	99.65	NAN	
210	0.173	0.157	100.15	NAN	
215	0.1725	0.1535	100.65	NAN	
220	0.1715	0.1535	101.65	NAN	
225	0.171	0.154	102.15	NAN	
230	0.1705	0.1555	102.65	NAN	
235	0.169	0.1555	104.15	NAN	
240	0.168	0.1575	105.15	NAN	
245	0.1675	0.159	105.65	NAN	
250	0.1675	0.16	105.65	NAN	
255	0.1675	0.17	105.65	NAN	
260	0.1645	0.17	108.65	NAN	
265.008	0.165	0.1705	108.15	NAN	
270	0.1645	0.17	108.65	NAN	
275	0.163	0.1685	110.15	NAN	
280	0.1615	0.1695	111.65	NAN	
285	0.16	0.17	113.15	NAN	
290	0.1595	0.17	113.65	NAN	
295.008	0.16	0.1725	113.15	NAN	
300	0.1585	0.171	114.65	NAN	
305	0.1575	0.175	115.65	NAN	
310	0.1555	0.1745	117.65	NAN	
315	0.156	0.1775	117.15	NAN	
320	0.1545	0.176	118.65	NAN	
325.008	0.154	0.173	119.15	NAN	
330	0.1525	0.1745	120.65	NAN	
335	0.151	0.177	122.15	NAN	
340	0.1505	0.178	122.65	NAN	
345	0.1495	0.178	123.65	NAN	
350	0.1485	0.178	124.65	NAN	
355.007	0.1475	0.176	125.65	NAN	
360	0.1465	0.179	126.65	NAN	
365	0.146	0.1775	127.15	NAN	
370	0.1445	0.178	128.65	NAN	
375	0.1425	0.178	130.65	NAN	
380	0.1415	0.176	131.65	NAN	
385.006	0.1395	0.178	133.65	NAN	
390	0.139	0.177	134.15	NAN	
395	0.1375	0.1785	135.65	NAN	
400	0.1385	0.1785	134.65	NAN	
405	0.1365	0.1795	136.65	NAN	
410.006	0.1345	0.1775	138.65	NAN	
415	0.134	0.1785	139.15	NAN	
420	0.1325	0.179	140.65	NAN	
425	0.132	0.179	141.15	NAN	
430	0.13	0.1785	143.15	NAN	
435.007	0.1305	0.179	142.65	NAN	
440	0.13	0.1805	143.15	NAN	
445	0.13	0.1795	143.15	NAN	
450	0.1265	0.1795	146.65	NAN	
455	0.126	0.176	147.15	NAN	
460.006	0.126	0.18	147.15	NAN	
465	0.125	0.179	148.15	NAN	
470	0.124	0.1765	149.15	NAN	
475	0.122	0.177	151.15	NAN	
480	0.121	0.176	152.15	NAN	
485.004	0.119	0.177	154.15	NAN	
490	0.12	0.178	153.15	NAN	
495	0.119	0.177	154.15	NAN	
500	0.1185	0.176	154.65	NAN	
505	0.1175	0.178	155.65	NAN	
510.003	0.1155	0.1745	157.65	NAN	
515	0.115	0.177	158.15	NAN	
520	0.114	0.176	159.15	NAN	
525	0.1125	0.1765	160.65	NAN	
530	0.111	0.1765	162.15	NAN	
535.003	0.11	0.178	163.15	NAN	
540	0.109	0.178	164.15	NAN	
545	0.11	0.176	163.15	NAN	
550	0.1075	0.1765	165.65	NAN	
555	0.107	0.177	166.15	NAN	
560.003	0.107	0.178	166.15	NAN	
565	0.1065	0.178	166.65	NAN	
570	0.106	0.179	167.15	NAN	
575	0.1035	0.1795	169.65	NAN	
